Problem/Soltuion,Number,hkroger,snehal,eschare,# Category, Category
Solution,1075.1,1,0,1,1a,Contact Professional For Assitance
Problem,1076,1,1,1,7h,Physical Saftey
Solution,1076.1,1,1,0,3a,Caregiver Wellbeing
Solution,1076.2,1,0,1,1a,Contact Professional For Assitance
Problem,1077,1,1,1,7d,Physical Saftey
Solution,1077.1,*,*,*,*,*
Problem,1078,1,0,1,6f,Symptoms
Solution,1078.1,*,*,*,*,*
Solution,1078.2,1,0,1,4b,Strategies to handle the patient
Problem,1079,1,1,1,3d,Basic Hygiene
Solution,1079.1,1,1,1,3c,Caregiver Wellbeing
Solution,1079.2,*,*,*,*,*
Problem,1080,1,1,0,2d,Conflicts
Solution,1080.1,0,1,1,3a,Caregiver Wellbeing
Solution,1080.2,1,0,1,2a,Info Sources
Solution,1080.3,1,0,1,2a,Info Sources
Solution,1080.4,1,0,1,2a,Info Sources
Problem,1081,0,1,1,5a,Legal Financial
Solution,1081.1,1,1,1,3a,Caregiver Wellbeing
Solution,1081.2,1,1,1,1d,Contact Professional For Assitance
Problem,1082,1,1,0,9a,Doctors and Nursing Homes
Solution,1082.1,1,0,1,2a,Info Sources
Problem,1083,0,1,1,7h,Physical Saftey
Solution,1083.1,1,0,1,1f,Contact Professional For Assitance
Solution,1083.2,1,1,0,5a,Doctor Consultations
Problem,1084,1,1,0,10b,General Information
Solution,1084.1,1,0,1,1a,Contact Professional For Assitance
Problem,1085,*,*,*,*,*
Solution,1085.1,0,1,1,3a,Caregiver Wellbeing
Problem,1086,*,*,*,*,*
Solution,1086.1,1,1,1,3a,Caregiver Wellbeing
Solution,1086.2,1,1,1,5a,Doctor Consultations
Problem,1087,*,*,*,*,*
Solution,1087.1,*,*,*,*,*
Problem,1088,1,1,0,10b,General Information
Solution,1088.1,1,1,1,2a,Info Sources
Problem,1089,1,1,1,6o,Symptoms
Solution,1089.1,1,0,1,1a,Contact Professional For Assitance
Problem,1090,*,*,*,*,*
Solution,1090.1,1,1,0,3a,Caregiver Wellbeing
Problem,1091,1,1,1,9f,Doctors and Nursing Homes
Solution,1091.1,1,1,0,3a,Caregiver Wellbeing
Problem,1092,1,1,1,5h,Legal Financial
Solution,1092.1,1,1,0,3a,Caregiver Wellbeing
Solution,1092.2,1,1,1,3a,Caregiver Wellbeing
Problem,1093,1,1,1,6n,Symptoms
Solution,1093.1,0,1,1,3c,Caregiver Wellbeing
Solution,1093.2,1,1,1,3a,Caregiver Wellbeing
Problem,1094,0,1,1,9i,Doctors and Nursing Homes
Solution,1094.1,1,1,0,3a,Caregiver Wellbeing
Solution,1094.2,1,1,0,3c,Caregiver Wellbeing
Problem,1095,0,1,1,3d,Basic Hygiene
Solution,1095.1,0,1,1,3a,Caregiver Wellbeing
Problem,1096,1,0,1,7c,Physical Saftey
Solution,1096.1,1,1,1,3a,Caregiver Wellbeing
Solution,1096.2,1,1,0,3a,Caregiver Wellbeing
Solution,1096.3,1,0,1,7a,Safety
Problem,1097,1,1,1,8b,Ethics
Solution,1097.1,1,1,1,1a,Contact Professional For Assitance
Problem,1098,1,1,0,2d,Conflicts
Solution,1098.1,1,1,1,3c,Caregiver Wellbeing
Solution,1098.2,1,1,1,3a,Caregiver Wellbeing
Problem,1099,1,1,1,2d,Conflicts
Solution,1099.1,1,1,0,5a,Doctor Consultations
Solution,1099.2,1,1,1,3c,Caregiver Wellbeing
Solution,1099.3,1,0,1,1a,Contact Professional For Assitance
Problem,1100,1,0,1,10a,General Information
Solution,1100.1,1,1,1,2a,Info Sources
Problem,1101,*,*,*,*,*
Solution,1101.1,*,*,*,*,*
Solution,1101.2,1,1,1,3c,Caregiver Wellbeing
Problem,1102,*,*,*,*,*
Solution,1102.1,1,1,1,2a,Info Sources
Solution,1102.2,1,0,1,1a,Contact Professional For Assitance
Solution,1102.3,0,1,1,9d,Personal Care
Problem,1103,1,1,1,2a,Conflicts
Solution,1103.1,1,1,0,3a,Caregiver Wellbeing
Problem,1104,*,*,*,*,*
Solution,1104.1,*,*,*,*,*
Problem,1105,*,*,*,*,*
Solution,1105.1,0,1,1,3a,Caregiver Wellbeing
Solution,1105.2,1,0,1,2a,Info Sources
Problem,1106,*,*,*,*,*
Solution,1106.1,0,1,1,8f,Home Care/Nursing Homes
Problem,1107,1,0,1,9a,Doctors and Nursing Homes
Solution,1107.1,*,*,*,*,*
Problem,1108,*,*,*,*,*
Solution,1108.1,1,1,1,3a,Caregiver Wellbeing
Solution,1108.2,1,1,0,3c,Caregiver Wellbeing
Solution,1108.3,1,0,1,2a,Info Sources
Problem,1109,*,*,*,*,*
Problem,1110,1,1,1,7d,Physical Saftey
Solution,1110.1,1,1,1,5a,Doctor Consultations
Problem,1111,*,*,*,*,*
Solution,1111.1,1,1,1,3c,Caregiver Wellbeing
Solution,1111.2,1,0,1,3c,Caregiver Wellbeing
Solution,1111.3,1,0,1,1a,Contact Professional For Assitance
Solution,1111.4,1,1,0,3c,Caregiver Wellbeing
Problem,1112,1,1,1,6a,Symptoms
Problem,1113,1,1,0,6h,Symptoms
Solution,1113.1,1,1,1,1a,Contact Professional For Assitance
Problem,1114,1,1,1,3c,Basic Hygiene
Solution,1114.1,1,1,1,2a,Info Sources
Solution,1114.2,1,1,1,9c,Personal Care
Problem,1115,1,1,1,1a,Emotions of the Care Giver
Solution,1115.1,1,1,0,3a,Caregiver Wellbeing
Problem,1116,1,1,1,2d,Conflicts
Solution,1116.1,*,*,*,*,*
Solution,1116.2,*,*,*,*,*
Problem,1117,1,1,1,5a,Legal Financial
Solution,1117.1,1,1,1,3a,Caregiver Wellbeing
Problem,1118,1,0,1,6f,Symptoms
Solution,1118.1,1,1,0,4b,Strategies to handle the patient
Problem,1119,*,*,*,*,*
Problem,1120,*,*,*,*,*
Solution,1120.1,0,1,1,6b,Medication
Solution,1120.2,0,1,1,6b,Medication
Solution,1120.3,1,0,1,1a,Contact Professional For Assitance
Problem,1121,1,1,1,4b,Medicines
Problem,1122,1,1,0,6a,Symptoms
Problem,1123,0,1,1,6f,Symptoms
Solution,1123.1,1,0,1,3c,Caregiver Wellbeing
Solution,1123.2,1,1,0,3c,Caregiver Wellbeing
Problem,1124,1,1,1,10a,General Information
Solution,1124.1,1,1,1,3a,Caregiver Wellbeing
Problem,1125,1,1,0,6e,Symptoms
Problem,1126,1,0,1,2a,Conflicts
Problem,1127,*,*,*,*,*
Solution,1127.1,1,1,1,4b,Strategies to handle the patient
Problem,1128,*,*,*,*,*
Solution,1128.1,1,1,1,8e,Home Care/Nursing Homes
Problem,1129,*,*,*,*,*
Solution,1129.1,1,1,1,3a,Caregiver Wellbeing
Solution,1129.2,1,1,1,3a,Caregiver Wellbeing
Solution,1129.3,*,*,*,*,*
Problem,1130,0,1,1,2e,Conflicts
Solution,1130.1,1,0,1,2a,Info Sources
Solution,1130.2,1,1,0,3c,Caregiver Wellbeing
Problem,1131,0,1,1,5d,Legal Financial
Solution,1131.1,1,0,1,1c,Contact Professional For Assitance
Problem,1132,1,1,0,10b,General Information
Solution,1132.1,1,1,1,3a,Caregiver Wellbeing
Problem,1133,1,1,0,2b,Conflicts
Solution,1133.1,*,*,*,*,*
Problem,1134,*,*,*,*,*
Solution,1134.1,*,*,*,*,*
Problem,1135,1,1,0,6e,Symptoms
Solution,1135.1,*,*,*,*,*
Problem,1136,1,0,1,10a,General Information
Solution,1136.1,1,1,1,3a,Caregiver Wellbeing
Problem,1137,1,0,1,10a,General Information
Problem,1138,1,0,1,9a,Doctors and Nursing Homes
Solution,1138.1,*,*,*,*,*
Problem,1139,1,1,1,10a,General Information
Solution,1139.1,1,1,0,3a,Caregiver Wellbeing
Problem,1140,1,0,1,3c,Basic Hygiene
Solution,1140.1,1,0,1,2a,Info Sources
Problem,1141,*,*,*,*,*
Solution,1141.1,1,0,1,1a,Contact Professional For Assitance
Problem,1142,0,1,1,3c,Basic Hygiene
Solution,1142.1,*,*,*,*,*
Problem,1143,*,*,*,*,*
Solution,1143.1,1,1,1,4d,Strategies to handle the patient
Solution,1143.2,1,0,1,2a,Info Sources
Problem,1144,1,1,1,10a,General Information
Solution,1144.1,1,1,1,2a,Info Sources
Problem,1145,*,*,*,*,*
Solution,1145.1,1,1,1,1a,Contact Professional For Assitance
Problem,1146,1,1,1,9h,Doctors and Nursing Homes
Solution,1146.1,1,1,1,3a,Caregiver Wellbeing
Problem,1147,1,1,1,2d,Conflicts
Solution,1147.1,1,0,1,5a,Doctor Consultations
Solution,1147.2,0,1,1,3a,Caregiver Wellbeing
Problem,1148,1,1,1,6a,Symptoms
Solution,1148.1,1,0,1,2a,Info Sources
Problem,1149,*,*,*,*,*
Solution,1149.1,1,1,1,2a,Info Sources
Problem,1150,1,0,1,6b,Symptoms
Solution,1150.1,0,1,1,8f,Home Care/Nursing Homes
Solution,1150.2,0,1,1,3a,Caregiver Wellbeing
Problem,1151,1,1,1,6f,Symptoms
Solution,1151.1,*,*,*,*,*
Solution,1151.2,1,0,1,3a,Caregiver Wellbeing
Problem,1152,*,*,*,*,*
Solution,1152.1,0,1,1,3a,Caregiver Wellbeing
Problem,1153,*,*,*,*,*
Solution,1153.1,1,1,1,2a,Info Sources
Problem,1154,1,1,1,6i,Symptoms
Solution,1154.1,1,1,1,2a,Info Sources
Problem,1155,*,*,*,*,*
Solution,1155.1,0,1,1,3a,Caregiver Wellbeing
Problem,1156,1,0,1,10a,General Information
Problem,1157,1,1,1,10a,General Information
Solution,1157.1,1,1,1,2a,Info Sources
Problem,1158,1,1,1,3d,Basic Hygiene
Solution,1158.1,1,1,1,3c,Caregiver Wellbeing
Solution,1158.2,1,0,1,1a,Contact Professional For Assitance
Solution,1158.3,1,1,1,3c,Caregiver Wellbeing
Problem,1159,1,1,1,6b,Symptoms
Solution,1159.1,1,1,1,1a,Contact Professional For Assitance
Problem,1160,0,1,1,1a,Emotions of the Care Giver
Solution,1160.1,1,1,0,3a,Caregiver Wellbeing
Problem,1161,*,*,*,*,*
Solution,1161.1,1,1,0,3a,Caregiver Wellbeing
Problem,1162,1,1,0,10b,General Information
Solution,1162.1,1,1,0,4f,Strategies to handle the patient
Solution,1162.2,1,0,1,3a,Caregiver Wellbeing
Problem,1163,1,0,1,9c,Doctors and Nursing Homes
Solution,1163.1,*,*,*,*,*
Problem,1164,*,*,*,*,*
Solution,1164.1,*,*,*,*,*
Problem,1165,0,1,1,2d,Conflicts
Solution,1165.1,1,1,1,3a,Caregiver Wellbeing
Solution,1165.2,1,1,1,3a,Caregiver Wellbeing
Problem,1166,1,1,1,6c,Symptoms
Solution,1166.1,1,1,0,3c,Caregiver Wellbeing
Solution,1166.2,1,0,1,1a,Contact Professional For Assitance
Problem,1167,*,*,*,*,*
Solution,1167.1,1,0,1,1c,Contact Professional For Assitance
Problem,1168,0,1,1,6o,Symptoms
Solution,1168.1,*,*,*,*,*
Problem,1169,*,*,*,*,*
Solution,1169.1,1,0,1,2a,Info Sources
Solution,1169.2,1,1,1,3c,Caregiver Wellbeing
Solution,1169.3,*,*,*,*,*
Problem,1170,*,*,*,*,*
Solution,1170.1,*,*,*,*,*
Solution,1170.2,0,1,1,3c,Caregiver Wellbeing
Solution,1170.3,1,1,0,3c,Caregiver Wellbeing
Problem,1171,0,1,1,6d,Symptoms
Solution,1171.1,1,1,1,3a,Caregiver Wellbeing
Problem,1172,1,1,0,1b,Emotions of the Care Giver
Solution,1172.1,*,*,*,*,*
Solution,1172.2,1,1,1,3a,Caregiver Wellbeing
Problem,1173,1,1,1,6c,Symptoms
Solution,1173.1,1,0,1,1a,Contact Professional For Assitance
Solution,1173.2,1,0,1,3a,Caregiver Wellbeing
Problem,1174,1,1,1,6d,Symptoms
Solution,1174.1,1,1,1,2a,Info Sources
Problem,1175,*,*,*,*,*
Solution,1175.1,1,1,1,3c,Caregiver Wellbeing
Solution,1175.2,1,1,1,3a,Caregiver Wellbeing
Problem,1176,*,*,*,*,*
Solution,1176.1,1,0,1,3a,Caregiver Wellbeing
Problem,1177,1,0,1,3c,Basic Hygiene
Solution,1177.1,1,0,1,1a,Contact Professional For Assitance
Problem,1178,1,1,0,8i,Ethics
Solution,1178.1,*,*,*,*,*
Solution,1178.2,*,*,*,*,*
Problem,1179,1,1,1,5d,Legal Financial
Solution,1179.1,1,1,1,1a,Contact Professional For Assitance
Solution,1179.2,0,1,1,3c,Caregiver Wellbeing
Solution,1179.3,0,1,1,1c,Contact Professional For Assitance
Problem,1180,1,1,0,6e,Symptoms
Solution,1180.1,1,1,0,3c,Caregiver Wellbeing
Problem,1181,1,1,1,10a,General Information
Solution,1181.1,1,1,1,3c,Caregiver Wellbeing
Problem,1182,*,*,*,*,*
Solution,1182.1,1,1,0,3c,Caregiver Wellbeing
Solution,1182.2,1,0,1,3c,Caregiver Wellbeing
Solution,1182.3,1,1,1,2a,Info Sources
Solution,1182.4,1,0,1,1c,Contact Professional For Assitance
Problem,1183,1,1,1,6i,Symptoms
Solution,1183.1,1,0,1,2a,Info Sources
Solution,1183.2,1,1,1,2a,Info Sources
Problem,1184,1,1,1,5g,Legal Financial
Solution,1184.1,1,1,1,1d,Contact Professional For Assitance
Solution,1184.2,1,1,1,1d,Contact Professional For Assitance
Solution,1184.3,1,1,1,1d,Contact Professional For Assitance
Problem,1185,0,1,1,6n,Symptoms
Solution,1185.1,1,0,1,3c,Caregiver Wellbeing
Solution,1185.2,1,0,1,4b,Strategies to handle the patient
Problem,1186,0,1,1,1a,Emotions of the Care Giver
Solution,1186.1,1,1,0,3a,Caregiver Wellbeing
Problem,1187,0,1,1,1a,Emotions of the Care Giver
Solution,1187.1,1,1,0,3a,Caregiver Wellbeing
Problem,1188,1,1,1,7a,Physical Saftey
Solution,1188.1,0,1,1,7a,Safety
Problem,1189,1,1,1,9a,Doctors and Nursing Homes
Solution,1189.1,1,1,1,2a,Info Sources
Solution,1189.2,0,1,1,2a,Info Sources
Problem,1190,1,1,1,3a,Basic Hygiene
Solution,1190.1,1,0,1,2a,Info Sources
Problem,1191,1,1,1,3a,Basic Hygiene
Solution,1191.1,1,1,1,3c,Caregiver Wellbeing
Solution,1191.2,1,1,0,3c,Caregiver Wellbeing
Solution,1191.3,*,*,*,*,*
Problem,1192,1,1,1,3a,Basic Hygiene
Problem,1193,1,1,1,3a,Basic Hygiene
Problem,1194,*,*,*,*,*
Solution,1194.1,*,*,*,*,*
Solution,1194.2,*,*,*,*,*
Problem,1195,*,*,*,*,*
Solution,1195.1,1,0,1,3d,Caregiver Wellbeing
Solution,1195.2,*,*,*,*,*
Solution,1195.3,1,1,1,3d,Caregiver Wellbeing
Solution,1195.4,1,1,0,3a,Caregiver Wellbeing
Problem,1196,*,*,*,*,*
Solution,1196.1,1,1,1,2a,Info Sources
Problem,1197,*,*,*,*,*
Solution,1197.1,1,0,1,5a,Doctor Consultations
Solution,1197.2,*,*,*,*,*
Problem,1198,1,0,1,3d,Basic Hygiene
Solution,1198.1,*,*,*,*,*
Solution,1198.2,0,1,1,3a,Caregiver Wellbeing
Solution,1198.3,1,1,0,3a,Caregiver Wellbeing
Problem,1199,1,1,1,9h,Doctors and Nursing Homes
Solution,1199.1,1,1,0,3a,Caregiver Wellbeing
Solution,1199.2,*,*,*,*,*
Problem,1200,1,0,1,6b,Symptoms
Solution,1200.1,1,0,1,1a,Contact Professional For Assitance
Problem,1201,1,1,1,7d,Physical Saftey
Solution,1201.1,1,1,0,1a,Contact Professional For Assitance
Problem,1202,1,1,1,6b,Symptoms
Solution,1202.1,1,1,1,1a,Contact Professional For Assitance
Problem,1203,1,1,1,1b,Emotions of the Care Giver
Solution,1203.1,0,1,1,3d,Caregiver Wellbeing
Solution,1203.2,1,1,1,2a,Info Sources
Problem,1204,1,1,1,4a,Medicines
Solution,1204.1,1,1,1,3c,Caregiver Wellbeing
Solution,1204.2,*,*,*,*,*
Problem,1205,1,1,1,4a,Medicines
Problem,1206,1,1,1,4a,Medicines
Problem,1207,1,1,1,4a,Medicines
Problem,1208,1,1,1,4a,Medicines
Problem,1209,1,1,1,4a,Medicines
Problem,1210,1,1,1,4a,Medicines
Problem,1211,1,1,1,4a,Medicines
Problem,1212,*,*,*,*,*
Solution,1212.1,1,1,0,3a,Caregiver Wellbeing
Problem,1213,*,*,*,*,*
Solution,1213.1,1,0,1,1a,Contact Professional For Assitance
Problem,1214,1,1,1,6c,Symptoms
Solution,1214.1,1,1,1,3a,Caregiver Wellbeing
Solution,1214.2,1,1,1,3c,Caregiver Wellbeing
Problem,1215,1,1,1,3a,Basic Hygiene
Solution,1215.1,1,1,1,2a,Info Sources
Problem,1216,1,0,1,3b,Basic Hygiene
Solution,1216.1,1,1,1,3a,Caregiver Wellbeing
Problem,1217,*,*,*,*,*
Solution,1217.1,1,0,1,2a,Info Sources
Problem,1218,1,1,1,2d,Conflicts
Problem,1219,1,1,1,9a,Doctors and Nursing Homes
Solution,1219.1,1,1,1,1c,Contact Professional For Assitance
Problem,1220,*,*,*,*,*
Solution,1220.1,1,0,1,2a,Info Sources
Solution,1220.2,1,0,1,3a,Caregiver Wellbeing
Problem,1221,1,1,1,6c,Symptoms
Solution,1221.1,1,1,1,5a,Doctor Consultations
Problem,1222,1,1,0,9h,Doctors and Nursing Homes
Solution,1222.1,1,1,1,3a,Caregiver Wellbeing
Problem,1223,1,1,0,2d,Conflicts
Solution,1223.1,1,1,1,2a,Info Sources
Problem,1224,*,*,*,*,*
Solution,1224.1,*,*,*,*,*
Problem,1225,1,1,1,9a,Doctors and Nursing Homes
Solution,1225.1,1,1,0,3a,Caregiver Wellbeing
Problem,1226,1,1,1,7a,Physical Saftey
Solution,1226.1,1,1,0,3a,Caregiver Wellbeing
Problem,1227,*,*,*,*,*
Solution,1227.1,1,1,1,8c,Home Care/Nursing Homes
Problem,1228,1,0,1,6b,Symptoms
Solution,1228.1,1,1,1,3c,Caregiver Wellbeing
Solution,1228.2,1,1,1,3c,Caregiver Wellbeing
Problem,1229,1,1,1,6c,Symptoms
Solution,1229.1,1,1,1,3a,Caregiver Wellbeing
Problem,1230,1,1,1,2d,Conflicts
Solution,1230.1,*,*,*,*,*
Problem,1231,1,1,1,3a,Basic Hygiene
Solution,1231.1,0,1,1,7a,Safety
Solution,1231.2,1,1,1,2a,Info Sources
Solution,1231.3,1,1,1,2a,Info Sources
Problem,1232,1,0,1,6f,Symptoms
Solution,1232.1,1,0,1,3c,Caregiver Wellbeing
Problem,1233,1,0,1,6a,Symptoms
Solution,1233.1,0,1,1,3a,Caregiver Wellbeing
Problem,1234,1,1,1,8b,Ethics
Solution,1234.1,*,*,*,*,*
Problem,1235,*,*,*,*,*
Solution,1235.1,1,0,1,1a,Contact Professional For Assitance
Problem,1236,1,1,0,11a,Solutions
Solution,1236.1,1,1,0,3d,Caregiver Wellbeing
Solution,1236.2,*,*,*,*,*
Solution,1236.3,1,1,1,2a,Info Sources
Problem,1237,0,1,1,9g,Doctors and Nursing Homes
Solution,1237.1,1,1,1,3a,Caregiver Wellbeing
Solution,1237.2,1,1,1,3a,Caregiver Wellbeing
Problem,1238,*,*,*,*,*
Solution,1238.1,1,1,1,3a,Caregiver Wellbeing
Problem,1239,1,1,1,1d,Emotions of the Care Giver
Solution,1239.1,1,1,1,3c,Caregiver Wellbeing
Solution,1239.2,1,1,1,3c,Caregiver Wellbeing
Solution,1239.3,1,1,1,3a,Caregiver Wellbeing
Problem,1240,*,*,*,*,*
Solution,1240.1,0,1,1,3a,Caregiver Wellbeing
Problem,1241,1,1,0,3a,Basic Hygiene
Solution,1241.1,*,*,*,*,*
Problem,1242,1,0,1,4a,Medicines
Solution,1242.1,*,*,*,*,*
Problem,1243,1,1,1,6f,Symptoms
Solution,1243.1,1,1,1,4b,Strategies to handle the patient
Problem,1244,*,*,*,*,*
Problem,1245,*,*,*,*,*
Solution,1245.1,1,1,1,1d,Contact Professional For Assitance
Problem,1246,1,1,1,6k,Symptoms
Solution,1246.1,1,0,1,3c,Caregiver Wellbeing
Solution,1246.2,1,1,1,2a,Info Sources
Problem,1247,1,1,0,9f,Doctors and Nursing Homes
Solution,1247.1,*,*,*,*,*
Problem,1248,1,0,1,5d,Legal Financial
Solution,1248.1,0,1,1,3c,Caregiver Wellbeing
Solution,1248.2,*,*,*,*,*
Problem,1249,*,*,*,*,*
Solution,1249.1,0,1,1,3a,Caregiver Wellbeing
Problem,1250,1,1,0,2a,Conflicts
Solution,1250.1,1,1,1,3c,Caregiver Wellbeing
Solution,1250.2,1,0,1,5a,Doctor Consultations
Problem,1251,1,0,1,7h,Physical Saftey
Solution,1251.1,*,*,*,*,*
Problem,1252,1,1,1,2a,Conflicts
Solution,1252.1,1,1,1,3c,Caregiver Wellbeing
Solution,1252.2,1,1,1,3c,Caregiver Wellbeing
Solution,1252.3,1,1,1,3c,Caregiver Wellbeing
Solution,1252.4,1,0,1,3a,Caregiver Wellbeing
Solution,1252.5,1,0,1,3a,Caregiver Wellbeing
Problem,1253,1,1,0,6c,Symptoms
Solution,1253.1,1,1,1,3a,Caregiver Wellbeing
Problem,1254,1,1,0,10b,General Information
Solution,1254.1,0,1,1,2a,Info Sources
Problem,1255,*,*,*,*,*
Solution,1255.1,1,1,0,2a,Info Sources
Problem,1256,1,1,1,1a,Emotions of the Care Giver
Solution,1256.1,1,1,1,1a,Contact Professional For Assitance
Problem,1257,1,0,1,6b,Symptoms
Solution,1257.1,0,1,1,3a,Caregiver Wellbeing
Problem,1258,1,1,1,3a,Basic Hygiene
Solution,1258.1,1,1,1,3c,Caregiver Wellbeing
Solution,1258.2,1,1,1,3c,Caregiver Wellbeing
Solution,1258.3,*,*,*,*,*
Problem,1259,*,*,*,*,*
Solution,1259.1,1,1,1,3a,Caregiver Wellbeing
Problem,1260,1,0,1,6b,Symptoms
Solution,1260.1,1,1,1,3a,Caregiver Wellbeing
Problem,1261,1,1,1,6c,Symptoms
Solution,1261.1,*,*,*,*,*
Solution,1261.2,*,*,*,*,*
Problem,1262,1,1,0,9h,Doctors and Nursing Homes
Solution,1262.1,1,1,1,3c,Caregiver Wellbeing
Solution,1262.2,*,*,*,*,*
Problem,1263,1,1,1,7h,Physical Saftey
Solution,1263.1,1,1,1,5a,Doctor Consultations
Solution,1263.2,1,1,1,1a,Contact Professional For Assitance
Problem,1264,0,1,1,5h,Legal Financial
Solution,1264.1,1,0,1,1d,Contact Professional For Assitance
Problem,1265,*,*,*,*,*
Solution,1265.1,1,1,0,3a,Caregiver Wellbeing
Solution,1265.2,1,1,1,3a,Caregiver Wellbeing
Problem,1266,0,1,1,9a,Doctors and Nursing Homes
Solution,1266.1,*,*,*,*,*
Problem,1267,1,1,1,6f,Symptoms
Solution,1267.1,1,1,0,3a,Caregiver Wellbeing
Solution,1267.2,1,1,0,3a,Caregiver Wellbeing
Solution,1267.3,0,1,1,3c,Caregiver Wellbeing
Problem,1268,*,*,*,*,*
Solution,1268.1,1,1,0,3a,Caregiver Wellbeing
Solution,1268.2,1,1,1,2a,Info Sources
Problem,1269,1,1,1,9h,Doctors and Nursing Homes
Solution,1269.1,1,1,1,3a,Caregiver Wellbeing
Problem,1270,*,*,*,*,*
Solution,1270.1,*,*,*,*,*
Problem,1271,1,1,0,9a,Doctors and Nursing Homes
Solution,1271.1,1,0,1,5b,Doctor Consultations
Solution,1271.2,*,*,*,*,*
Problem,1272,*,*,*,*,*
Solution,1272.1,1,0,1,1a,Contact Professional For Assitance
Problem,1273,1,1,1,2a,Conflicts
Solution,1273.1,1,1,1,3a,Caregiver Wellbeing
Problem,1274,1,0,1,4a,Medicines
Solution,1274.1,0,1,1,3a,Caregiver Wellbeing
Problem,1275,*,*,*,*,*
Solution,1275.1,1,1,1,3a,Caregiver Wellbeing
Problem,1276,1,1,0,5d,Legal Financial
Solution,1276.1,1,1,0,3a,Caregiver Wellbeing
Solution,1276.2,1,1,0,1a,Contact Professional For Assitance
Problem,1277,*,*,*,*,*
Solution,1277.1,1,1,0,3a,Caregiver Wellbeing
Solution,1277.2,1,0,1,1c,Contact Professional For Assitance
Problem,1278,*,*,*,*,*
Solution,1278.1,1,1,1,4f,Strategies to handle the patient
Solution,1278.2,1,1,1,3a,Caregiver Wellbeing
Problem,1279,1,0,1,7d,Physical Saftey
Solution,1279.1,0,1,1,7a,Safety
Problem,1280,1,0,1,3c,Basic Hygiene
Solution,1280.1,*,*,*,*,*
Problem,1281,1,0,1,6f,Symptoms
Solution,1281.1,*,*,*,*,*
Problem,1282,1,1,0,2a,Conflicts
Solution,1282.1,1,1,0,1a,Contact Professional For Assitance
Problem,1283,1,1,1,6b,Symptoms
Solution,1283.1,1,0,1,1a,Contact Professional For Assitance
Problem,1284,1,1,1,1a,Emotions of the Care Giver
Solution,1284.1,*,*,*,*,*
Problem,1285,1,1,1,9a,Doctors and Nursing Homes
Solution,1285.1,1,0,1,1c,Contact Professional For Assitance
Problem,1286,1,1,1,6b,Symptoms
Solution,1286.1,*,*,*,*,*
Problem,1287,1,0,1,7a,Physical Saftey
Problem,1288,0,1,1,6h,Symptoms
Solution,1288.1,*,*,*,*,*
Problem,1289,1,1,1,4a,Medicines
Solution,1289.1,*,*,*,*,*
Problem,1290,1,0,1,7a,Physical Saftey
Solution,1290.1,1,1,1,8f,Home Care/Nursing Homes
Solution,1290.2,*,*,*,*,*
Problem,1291,1,1,1,9a,Doctors and Nursing Homes
Solution,1291.1,1,1,1,3a,Caregiver Wellbeing
Problem,1292,1,1,1,3a,Basic Hygiene
Solution,1292.1,0,1,1,3c,Caregiver Wellbeing
Solution,1292.2,1,0,1,1a,Contact Professional For Assitance
Problem,1293,*,*,*,*,*
Solution,1293.1,1,0,1,3a,Caregiver Wellbeing
Problem,1294,0,1,1,1a,Emotions of the Care Giver
Solution,1294.1,1,1,0,2a,Info Sources
Problem,1295,1,1,0,1a,Emotions of the Care Giver
Solution,1295.1,*,*,*,*,*
Problem,1296,1,1,0,1b,Emotions of the Care Giver
Solution,1296.1,1,1,1,1a,Contact Professional For Assitance
Problem,1297,*,*,*,*,*
Solution,1297.1,1,0,1,1a,Contact Professional For Assitance
Problem,1298,1,1,1,6c,Symptoms
Solution,1298.1,1,1,0,2a,Info Sources
Problem,1299,*,*,*,*,*
Solution,1299.1,1,1,0,3a,Caregiver Wellbeing
Problem,1300,*,*,*,*,*
Solution,1300.1,1,1,0,3a,Caregiver Wellbeing
Problem,1301,1,1,0,5g,Legal Financial
Solution,1301.1,0,1,1,3a,Caregiver Wellbeing
Problem,1302,1,1,0,5g,Legal Financial
Solution,1302.1,1,0,1,1a,Contact Professional For Assitance
Problem,1303,0,1,1,6j,Symptoms
Solution,1303.1,1,1,0,3a,Caregiver Wellbeing
Problem,1304,*,*,*,*,*
Problem,1305,1,0,1,10a,General Information
Solution,1305.1,1,1,1,2a,Info Sources
Problem,1306,1,0,1,4a,Medicines
Solution,1306.1,1,1,0,3c,Caregiver Wellbeing
Solution,1306.2,1,0,1,3a,Caregiver Wellbeing
Problem,1307,0,1,1,6k,Symptoms
Solution,1307.1,*,*,*,*,*
Problem,1308,1,1,0,6k,Symptoms
Solution,1308.1,*,*,*,*,*
Problem,1309,0,1,1,9a,Doctors and Nursing Homes
Solution,1309.1,1,1,0,2a,Info Sources
Problem,1310,*,*,*,*,*
Solution,1310.1,1,1,0,8c,Home Care/Nursing Homes
Solution,1310.2,0,1,1,3c,Caregiver Wellbeing
Problem,1311,1,1,0,10b,General Information
Solution,1311.1,0,1,1,3a,Caregiver Wellbeing
Problem,1312,1,1,1,6g,Symptoms
Solution,1312.1,1,1,0,4b,Strategies to handle the patient
Solution,1312.2,1,1,0,3c,Caregiver Wellbeing
Problem,1313,1,0,1,3d,Basic Hygiene
Solution,1313.1,1,1,1,3a,Caregiver Wellbeing
Problem,1314,1,0,1,7h,Physical Saftey
